id cx cy cz
824 0.824837 0.899744 0
825 0.774939 0.494787 0
826 0.274999 0.985566 0
827 0.724989 0.898968 0
828 0.799819 0.509161 0
829 0.274989 0.898959 0
830 0.800016 0.422659 0
831 0.84962 0.857999 0
832 0.874265 0.4655 0
833 0.375 0.927831 0
834 0.699996 0.942266 0
835 0.724998 0.985567 0
836 0.824624 0.842492 0
837 0.225 0.927836 0
838 0.749991 0.971137 0
839 0.84994 0.45148 0
840 0.749984 0.942275 0
841 0.774993 0.98557 0
842 0.324996 0.898962 0
843 0.899764 0.887968 0
844 0.799938 0.94236 0
845 0.724989 0.927838 0
846 0.299991 0.884526 0
847 0.374999 0.898963 0
848 0.299999 0.971132 0
849 0.774932 0.899074 0
850 0.349997 0.884529 0
851 0.250003 0.971135 0
852 0.799854 0.885016 0
853 0.249999 0.942266 0
854 0.774956 0.927916 0
855 0.849769 0.886393 0
856 0.799788 0.856158 0
857 0.874896 0.901218 0
858 0.0759989 0.722522 0
859 0.917794 0.663885 0
860 0.0850963 0.570387 0
861 0.90028 0.77562 0
862 0.984917 0.574104 0
863 0.478713 0.0743704 0
864 0.699975 0.0272646 0
865 0.800409 0.0290426 0
866 0.547422 0.114598 0
867 0.700487 0.10515 0
868 0.351144 0.0315319 0
869 0.402567 0.0299518 0
870 0.552141 0.188308 0
871 0.300979 0.109015 0
872 0.60308 0.190015 0
873 0.299162 0.030816 0
874 0.200022 0.105598 0
875 0.199866 0.0260707 0
876 0.150317 0.103701 0
877 0.346375 0.108812 0
878 0.150254 0.0258943 0
879 0.813892 0.112031 0
880 0.837562 0.15804 0
881 0.815386 0.143856 0
882 0.793219 0.10093 0
883 0.631972 0.143584 0
884 0.635062 0.11193 0
885 0.100402 0.943883 0
886 0.0755112 0.986312 0
887 0.0764979 0.0151172 0
888 0.97331 0.548601 0
889 0.774742 0.0150726 0
890 0.749717 0.0279034 0
891 0.453896 0.0597861 0
892 0.724975 0.0128308 0
893 0.525956 0.100853 0
894 0.677054 0.11913 0
895 0.577054 0.204852 0
896 0.376311 0.014941 0
897 0.323846 0.123842 0
898 0.274329 0.0142251 0
899 0.249195 0.0258621 0
900 0.224866 0.011637 0
901 0.17491 0.120762 0
902 0.125254 0.0114606 0
903 0.0548338 0.202742 0
904 0.431951 0.0749574 0
905 0.505516 0.117822 0
906 0.656258 0.10114 0
907 0.940266 0.670822 0
908 0.849187 0.799508 0
909 0.884085 0.249176 0
910 0.152523 0.24971 0
911 0.862772 0.236448 0
912 0.0569103 0.15697 0
913 0.882809 0.18919 0
914 0.972823 0.599288 0
915 0.0505374 0.794068 0
916 0.949996 0.206956 0
917 0.93016 0.720326 0
918 0.898036 0.680319 0
919 0.873888 0.321794 0
920 0.0719028 0.326152 0
921 0.0597656 0.447931 0
922 0.940848 0.447082 0
923 0.0667483 0.0713273 0
924 0.100588 0.972088 0
925 0.0689865 0.22655 0
926 0.0993825 0.618967 0
927 0.946387 0.603535 0
928 0.975767 0.649551 0
929 0.804414 0.0555982 0
930 0.100927 0.425639 0
931 0.899594 0.425131 0
932 0.0260583 0.897964 0
933 0.9728 0.851395 0
934 0.0258258 0.849612 0
935 0.974083 0.150146 0
936 0.101752 0.0265777 0
937 0.106126 0.534013 0
938 0.895886 0.536181 0
939 0.0267388 0.752733 0
940 0.0258377 0.800791 0
941 0.972693 0.24818 0
942 0.974337 0.199958 0
943 0.053689 0.599539 0
944 0.0993534 0.6822 0
945 0.874511 0.845915 0
946 0.786762 0.0725049 0
947 0.817931 0.205566 0
948 0.0122008 0.0288675 0
949 0.0288675 0.0122008 0
950 0.971132 0.0122008 0
951 0.987799 0.0288675 0
952 0.946911 0.053301 0
953 0.971132 0.987799 0
954 0.987799 0.971132 0
955 0.0288675 0.987799 0
956 0.0122008 0.971132 0
957 0.946841 0.946967 0
958 0.645232 0.0550154 0
959 0.416161 0.120018 0
960 0.495046 0.162363 0
961 0.0567314 0.0988197 0
962 0.899713 0.365797 0
963 0.0992069 0.365575 0
964 0.849738 0.770337 0
965 0.663037 0.0720402 0
966 0.436325 0.105114 0
967 0.513058 0.145154 0
968 0.151608 0.27815 0
969 0.0571295 0.701565 0
970 0.870797 0.294511 0
971 0.88984 0.277836 0
972 0.948405 0.695917 0
973 0.0550684 0.350007 0
974 0.943762 0.350308 0
975 0.89766 0.335833 0
976 0.101742 0.710898 0
977 0.129431 0.208442 0
978 0.973391 0.898065 0
979 0.973574 0.102305 0
980 0.102229 0.102655 0
981 0.103953 0.588634 0
982 0.987906 0.625185 0
983 0.100765 0.158743 0
984 0.104595 0.453506 0
985 0.8967 0.452841 0
986 0.105465 0.202549 0
987 0.0109634 0.874495 0
988 0.98887 0.125189 0
989 0.948211 0.889604 0
990 0.988751 0.874916 0
991 0.948574 0.112273 0
992 0.1053 0.507028 0
993 0.895599 0.506754 0
994 0.0109753 0.775674 0
995 0.989124 0.225 0
996 0.131687 0.236218 0
997 0.899527 0.861059 0
998 0.0940383 0.183005 0
999 0.0543787 0.974111 0
1000 0.0553654 0.027318 0
1001 0.0865092 0.54479 0
1002 0.84465 0.280852 0
1003 0.84238 0.251448 0
1004 0.81981 0.235578 0
1005 0.0259622 0.0539816 0
1006 0.94554 0.0261852 0
1007 0.945535 0.973818 0
1008 0.0272958 0.944602 0
1009 0.619243 0.0690942 0
1010 0.467062 0.150602 0
1011 0.391411 0.105032 0
1012 0.953866 0.649217 0
1013 0.615853 0.0969099 0
1014 0.592326 0.113653 0
1015 0.881505 0.158672 0
1016 0.856452 0.11307 0
1017 0.833992 0.0967499 0
1018 0.858529 0.142535 0
1019 0.830969 0.0687431 0
1020 0.0673601 0.182363 0
1021 0.917052 0.63801 0
1022 0.0495351 0.55289 0
1023 0.052807 0.947581 0
1024 0.0524601 0.0524321 0
1025 0.108904 0.245474 0
1026 0.0929395 0.225716 0
1027 0.939569 0.629098 0
1028 0.0645149 0.534092 0
